Jira,IssueId,EvoId,Summary,Description,VersionsAffected,IssueType,Project,Components,CreatedDate,ResolvedDate,Status,Priority,Creator,Reporter,Resolution,IssueLinks,Labels,VersionsFixed,Assignee,TimeSpent,Comments,SmellActual,SmellReason
JiraEcosystem,56595,0,Allow bulk update of multiple rows with a single statement,"If you need to update multiple entities at once, you need to do it like this at the moment:

{code}
Query myQuery = Query.select().where(""firstColumn = ?"", firstValue);
MyEntity[] myEntities = ao.find(MyEntity.class, myQuery);
for (MyEntity myEntity : myEntities) {
    myEntity.setSecondColumn(secondValue);
    myEntity.save();
}
{code}

This results in lots of the following SQL statements:
{code}
UPDATE myEntity
SET secondColumn = ""secondValue""
WHERE ID = x
{code}

For every single entity that needs to be updated.

This could be improved with something like this (just my suggestion, not sure whether this is possible):

{code}
Query myQuery = Query.select().where(""firstColumn = ?"", firstValue);
ao.update(MyEntity.class, myQuery, ""secondColumn"", ""secondValue"");
{code}

At the end, the following statement should be executed:

{code}
UPDATE myEntity
SET secondColumn = ""secondValue""
WHERE firstColumn = ""firstValue""
{code}

I know it's not as easy as it looks like, but it would be a huge improvement if you need to update multiple entities at once.",ao-plugin 0.19.7,Improvement,ActiveObjects,ActiveObjects (lib),2012-02-23 07:45:11,2014-05-27 02:07:27,Open,Major,Former user,Former user,,,roadmap-performance,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,58 characters is in range.
JiraEcosystem,110215,0,"Left padding needs to be removed from page-panel-sidebar when ""responsive""","When you reduce the browser width to the 1023 breakpoint the aui-page-panel-sidebar still retains its left padding, so sits slightly indented.",5.8.0,Bug,Atlassian User Interface,5.8.0,2015-01-07 18:32:16,2015-01-07 21:34:44,Triage,Minor,Mike Sharp,Mike Sharp,,,,,Mike Sharp,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,74 characters is too long.
JiraEcosystem,204867,0,Single Select control will flow up and off screen instead of just expanding the size and expanding below,"If the Single Select control is used near the top of a page and there isn't enough room at the bottom for it to expand, the control will expand above instead of below and can be unusable.

After some digging I noticed that it may be an issue with the tether constraint to: 'window'. Using to: 'scrollParent' provides the desired functionality where the control will expand below and allow users to scroll down.",6.0.6,Bug,Atlassian User Interface,Single select,2017-05-03 10:59:52,2019-02-19 10:05:02,Open,Minor,Shane Knowles,Shane Knowles,,,popper,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,104 characters is too long.
JiraEcosystem,91728,0,Refapp Single Tenant Arrives,"Provide an option to have atlassian refapp start in a warm state i.e. no tenant, and a means (via REST call) to have a tenant arrive.",,Sub-task,Atlassian Reference Application,,2014-04-21 21:23:03,2014-05-27 02:13:38,Triage,Major,Alex Courtis,Alex Courtis,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,28 characters is too short.
JiraEcosystem,64048,0,Crucible line comments are unsorted,,M3 (Beta),Bug,Atlassian Connector for Eclipse (discontinued),Crucible,2009-04-03 13:02:29,2009-04-23 08:13:02,Open,Major,Wojtek Seliga,Wojtek Seliga,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,35 characters is too short.
Sonatype,809524,0,create a new repository for io.adtrace.libpubtest,,,New Project,Community Support - Open Source Project Repository Hosting,,2021-08-16 09:44:09,2021-08-16 10:25:12,Open,Major,nasser amini,nasser amini,,,,,Shane Stecker,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,49 characters is in range.
Sonatype,717238,0,Help NXRM team with bundling of NXRM community formats into the official NXRM release.,"Work with Joe Stephens and team to make it possible to bundle community NXRM format plugins into the official NXRM distribution. This way, users will have access to the community formats ""out of the box"".

*Follow up from Dan:*

!image-2019-10-14-11-42-00-740.png!",,Task,Developer Experience,,2019-10-14 18:42:33,2020-02-13 22:28:56,Backlog,Minor,Allen Hsieh [X],Dan Rollo,,,okr-q4-contributing,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,86 characters is too long.
Sonatype,786172,0,A android hidden api by pass,,,New Project,Community Support - Open Source Project Repository Hosting,,2021-04-09 07:41:46,2021-04-09 07:53:30,Open,Major,Jincheng YU,Jincheng YU,,,,,Joel Orlina,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,28 characters is too short.
Sonatype,717226,0,Review and help on Conda Hosted PR,https://github.com/sonatype-nexus-community/nexus-repository-conda/pull/21,,Task,Developer Experience,,2019-10-14 18:19:36,2020-02-14 02:55:12,Backlog,Minor,Allen Hsieh [X],Jeffry Hesse,,,okr-q3-2019-contributing,,Dan Rollo,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,34 characters is too short.
Sonatype,717215,0,Create CircleCI ORB that uses maven-release-plugin to do releases,"The ORB we use now has a number of drawbacks, and is confusing about the development version is use after a release (no indication of dev SNAPSHOT, etc).

Rather than trying to re-invent the maven release process, instead see if we can create an ORB that invokes the m-release-p to do releases. Doing so will provide standard ""maven style"" SNAPSHOT versions for development, while using ""release"" versions for releases.",,Task,Developer Experience,,2019-10-14 17:37:37,2019-12-16 21:02:27,Backlog,Minor,Allen Hsieh [X],Dan Rollo,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,65 characters is in range.
Sonatype,739856,0,When query docker repository api /v2/ on proxy get Authorization error even though anonymous access is available on original repo and proxy,"When query API endpoint /v2/ on proxy of remote docker repository get 401 ""UNAUTHORIZED"" error even though anonymous access is set on proxy repo and on original repo I have no problem to call that API endpoint.

 

Error message:
{code:java}
{""errors"":[{""code"":""UNAUTHORIZED"",""message"":""access to the requested resource is not authorized"",""detail"":null}]}
{code}",3.21.1,Bug,Dev - Nexus Repo,,2020-04-21 14:36:59,2020-09-03 22:08:42,New,Minor,Marat Salakhutdinov,Marat Salakhutdinov,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,139 characters is too long.
Sakai,32058,0,Lessons: images in multiple columns exceed the boundary of a block – see screenshot ,"* Log into Sakai 11 and click on a Lessons tool
* Using ‘Add Colum break’ to create four blocks 
* For each block, add an image using ‘Embed content on page’ option.  Make sure all four images are the same width, e.g. 300px
* Once all images are added to the page, use the mouse to make the browser windows smaller.  You can see that the images will exceed the boundary of the blocks –see attached screenshot.  In another words, the images are not responsive.
",11.0,Bug,Sakai,Lessons,2016-07-12 01:09:00,2016-07-12 04:34:51,Awaiting Review,Major,Fawei Geng,Fawei Geng,,,,12.0,Charles Hedrick,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,84 characters is too long.
Sakai,29475,0,Use Citations Helper ConfigurationService to control Citations Helper UI,"Depending on site-specific options, certain functionality of the Citations Helper can be turned on/off.  These functions are searching library resources and using Google Scholar.  If configuration is missing for either of these functions, they should not be displayed.  The Citations Helper ConfigurationService handles turning these functions on/off.",2.4.0,Task,Sakai,Content,2007-03-17 10:31:10,2007-03-24 06:25:01,Resolved,Major,Gaurav Cedric Bhatnagar,Gaurav Cedric Bhatnagar,Fixed,,,2.4.0,Gaurav Cedric Bhatnagar,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,72 characters is too long.
Sakai,16566,0,Delivery 5: SMS Batch Scheduler,"Scheduler logic, Identify messages to process, Concurrency tests, UCT REVIEW",,Task,Contrib: SMS,Project,2008-11-23 16:38:15,2009-06-02 03:04:40,Resolved,Major,Louis Botha,Louis Botha,Fixed,,,0.14,Stephen Marquard,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,31 characters is too short.
Sakai,24378,0,Iframe resize not working all the time,"Rwiki IFRAME is not always sized correctly - it's possible to get 3 vertical scrollbars (e.g. in edit mode, 1024x768 but also on larger resolutions). The sizing seems not to take the right-hand column into account (View_right, etc.)",2.0,Bug,Sakai,Rwiki,2005-09-19 06:48:56,2005-11-02 11:46:05,Resolved,Major,Stephen Marquard,Stephen Marquard,Won't Fix,,,2.1.0,Ian Boston,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,38 characters is too short.
Sakai,21038,0,show whether a reflect has been done in a matrix cell,"In the last OSP conference call I agreed to submit this request:

When filling out a matrix, the user can see which cells have uploaded files and forms. However they can't see which have reflections. In some situations reflections are the primary content. The user shouldn't have to check every cell to see which ones have content. Include an icon for each reflection.

",2.5.2,Task,Sakai,OSP: Wizards - Matrix,2008-06-10 09:35:21,2010-03-29 04:46:33,Open,Major,Charles Hedrick,Charles Hedrick,,,,2.8.0,Peter A. Knoop,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,53 characters is in range.
Sakai,30022,0,Matrix Cell 'Created By' column does not respect viewOwner permission,"The ""Created By"" Column in the matrix cell (or wizard page) should respect the viewOwner permission (otherwise blind evaluations are a moot point). ",2.5.x,Bug,Sakai,OSP: Wizards - Matrix,2008-06-26 05:53:59,2010-04-21 08:07:01,Open,Major,Beth Kirschner,Beth Kirschner,,,,,OSP Jira Team,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,69 characters is in range.
Hyperledger,33445,0,Kafka short total interval does not work,"In the fabric/sampleconfig/orderer.yaml, kafka setting:

Kafka:
  Retry:
    ShortInterval: 5s
    ShortTotal: 10m
    LongInterval: 5m
    LongTotal: 12h

It is thought that every 5 seconds reconnection will continue for 10 minutes. But actually, about 30 seconds it will trigger long interval timeout, i.e. 5 minutes for 12 hours.

Here is the logs of orderer.

 

2018-09-04 10:04:24.454 CST [localconfig] completeInitialization -> INFO 001 Kafka.Version unset, setting to 0.10.2.0
2018-09-04 10:04:24.455 CST [bccsp_sw] openKeyStore -> DEBU 002 KeyStore opened at [/var/hyperledger/orderer/msp/keystore]...done
2018-09-04 10:04:24.464 CST [bccsp] initBCCSP -> DEBU 003 Initialize BCCSP [SW]

...

2018-09-04 10:04:56.270 CST [orderer/consensus/kafka/sarama] withRecover -> DEBU 200 Failed to connect to broker kafka3.energyx.com:9092: dial tcp 172.24.0.19:9092: connect: connection refused
2018-09-04 10:04:56.277 CST [orderer/consensus/kafka] try -> DEBU 201 [channel: energyx-orderer-syschan] Initial attempt failed = error creating topic [energyx-orderer-syschan]; failed to retrieve metadata for the cluster
2018-09-04 10:04:56.277 CST [orderer/consensus/kafka] try -> DEBU 202 [channel: energyx-orderer-syschan] Retrying every 5m0s for a total of 12h0m0s

 ",,Bug,Fabric,,2018-09-04 02:18:57,2018-09-05 03:03:09,Unverified,Medium,Allen Chen,Allen Chen,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,40 characters is in range.
Hyperledger,34593,0,Update default branch in each of the github projects,Update default branch in each of the github projects to be the latest major release.,,Sub-task,Fabric,,2018-10-10 22:12:02,2018-10-11 21:15:18,To Do,Medium,David Enyeart,David Enyeart,,,,,Christopher Ferris,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,52 characters is in range.
Hyperledger,42038,0,CLONE - Release fabric-chaincode-node,"Releasing v1.4.2 of the node.js modules. The process is now partly scripted... see the scripts/release.sh is the fabric-chaincode-node repo

 ",,Sub-task,Fabric,fabric-chaincode-node,2019-08-26 19:08:23,2019-08-28 17:45:18,To Do,Medium,David Enyeart,Christopher Ferris,,,,,Matthew White,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,37 characters is too short.
Hyperledger,16597,0,TPS Scale Up Network 4 Couch DB,"{color:#333333}This story has tests we are going to run from <PlaceHolder> {color}
 * {color:#333333}Component{color}{color:#333333}:  Performance test with LevelDB{color}

 * {color:#333333}Description{color}{color:#333333}: Launch network, use PTE stress mode to send 100 invoke transactions
 concurrently to all peers on all channels on all chaincodes,
 query the ledger for each to ensure the last transaction was written,
 calculate tps, remove network and cleanup{color}
 * {color:#333333}Artifact Locations{color}{color:#333333}:  <PlaceHolder>{color}

 * {color:#333333}Network Topology{color}{color:#333333}: 2 Ord, 5 KB, 3 ZK, 4 Org, 8 Peers, 40 Chan, 4 CC{color}

 * {color:#333333}Client Driver{color}{color:#333333}: test_pte.py,PTE{color}",,Task,Fabric,fabric-quality,2017-05-10 20:16:11,2018-07-09 18:23:26,To Do,Medium,Dinesh Kumar,Dinesh Kumar,,This issue blocks FAB-2032,quality,v1.0.0,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,31 characters is too short.
Hyperledger,12643,0,"as an operator, I should have a cli that I can easily install that lets me interact with the various components of the fabric","as an operator, I should have a cli that I can easily install that lets me interact with the various components of the fabric

The current peer commands are entangled with the validating peer capability, which means that building and installing a peer for Mac and Windows is complicated by the need to have RocksDB etc installed.

We can extract the peer commands into a separate component that is not dependent on the internals of the peer node, that can be simply installed as a platform-specific binary.",,Story,Fabric,,2016-09-10 20:09:01,2017-04-12 14:45:39,To Do,Medium,Christopher Ferris,Christopher Ferris,,,operations,,Christopher Ferris,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,125 characters is too long.
Hyperledger,31303,0,Possible issue where another org is unable to instantiate a chaincode container easily when using node.js chaincode ,"The problem here is around the fact that different organisations could require slightly different chaincode packages when using node.js because they could have different network requirements in order to build the chaincode container image which is done running npm install --production.

For example org1 may have no requirements so do not need to include a '.npmrc' file in the chaincode package. org2 however are a using a proxy so need to set the proxy information in the .npmrc and include it in the chaincode package.

From experimentation, I found the following
 - If both orgs have the chaincode installed then instantiation or upgrade will build the chaincode containers for both without issue
 - If however, org2 did not have the chaincode installed at instantiation/upgrade time, and add the chaincode package later. The chaincode container image will not be built and the following error is received

{noformat}
Error: 2 UNKNOWN: error executing chaincode: could not get ChaincodeDeploymentSpec for basic-sample-network:0.2.4: get ChaincodeDeploymentSpec for basic-sample-network/mychannel from LSCC error: chaincode fingerprint mismatch data mismatch
{noformat}

Currently there is no way to ""pre-vendor"" the necessary node_modules that would make up a complete chaincode package client side due to 2 issues
1. The node-sdk packager explicitly ignores the node_modules directory
2. A solution to native modules would be required as the target platform may not match the client platform

This implies that it should be possible to include or be able to provide npm configuration information that is either not part of the package or not included in the fingerprint of the package to allow for this situation.
It looks like it might be possible to use the upgrade mechanism as a workaround

I am not familiar with the fingerprint mechanism and based this Jira on some simple experiments so I may also be missing other scenarios where problems could occur.
",v1.1.0,Bug,Fabric,fabric-sdk-node,2018-06-22 15:15:50,2018-09-08 10:33:51,To Do,Medium,Dave Kelsey,Dave Kelsey,,,chaincode,v1.3.0,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,116 characters is too long.
IntelDAOS,17620,0,Combine NVMe health statistics and namespaces with controller in bindings,"This aggregation should be done as early as possible in the discovery flow to simplify things.

Combine the structures by mapping using the PCI address identifier in the bindings so output to the go server code already contained constructed controllers with populated fields for health statistics and namespaces.

Improve code coverage of processReturn() in the lib/ SPDK bindings.",0.7 Community Release,Story,DAOS,Control Plane,2019-11-04 05:32:23,2020-01-06 01:33:12,Open,P4-Low,Tom Nabarro,Tom Nabarro,,,,0.9 Community Release,Tom Nabarro,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,73 characters is too long.
IntelDAOS,20741,0,Update nvme recovery test function to find the default server config path when run with systemd,"get_server_config() is used to get the server config file and now the test is starting the server with systems that have default server config file /etc/daos/daos_server.yml.

The test needs to be fixed to have both ways so if user runs with systems or manually can find the server config file. ",,Bug,DAOS,System Test,2021-02-09 13:30:23,2021-02-25 08:59:56,Open,P3-Medium,Samir Raval,Samir Raval,,,Skipped_Test,,Samir Raval,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,95 characters is too long.
IntelDAOS,11776,0,No PMIX Test Conversion - corpc,Convert all cart/test/corpc tests to use no pmix if applicable.,,Story,CaRT,,2019-07-16 08:09:42,2019-12-18 14:30:31,Open,P4-Low,Sylvia Oi Yee Chan,Sylvia Oi Yee Chan,,,,,Scott Peirce,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,31 characters is too short.
IntelDAOS,21052,0,CLONE - Update Argobots to 1.1 RC2,"[Argobots 1.1 RC1|https://github.com/pmodels/argobots/releases/tag/v1.1rc1] was released on Mar. 15, 2021.

We need to update our builds (RPMs and daos->`build.config`) to use this new release.

Which branches need this update needs TBD.",1.1 Community Release,Story,DAOS,Build,2021-03-29 05:56:10,2021-04-05 09:57:32,Open,P2-High,Brian J. Murrell,Brian J. Murrell,,This issue Clones DAOS-7024,,2.0 Community Release,Brian J. Murrell,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,34 characters is too short.
IntelDAOS,16112,0,Start initial email discussion about reintegration algorithm,,,Improvement,DAOS,,2019-02-06 13:19:35,2019-03-06 13:50:47,Open,P4-Low,Byron Marohn,Byron Marohn,,,,,Byron Marohn,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,60 characters is in range.
IntelDAOS,16125,0,implement daos agent launch + cleanup in tests,Implement launch and cleanup of daos agent on nodes as appropriate before and after each test suite.,,Question/Request,DAOS,,2019-01-31 15:49:51,2019-04-05 09:57:56,Open,P4-Low,Stephen Willson,Stephen Willson,,,,,Stephen Willson,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,46 characters is in range.
JFrog,26116,0,Support Artifactory to split filestore between multiple locations,Currently only one filestore location for a NFS can be defined.  Should be able to split up repositories to multiple locations to manage disk storage more flexibly.,,New Feature,Artifactory Binary Repository,Artifact Storage,2014-10-14 16:45:13,2015-10-26 17:56:45,Open,4 - Normal,Aaron Rhodes,Aaron Rhodes,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,65 characters is in range.
JFrog,60102,0,LDAP UI fix from Group Name to Setting Name,"Currently in the LDAP configuration page in Artifactory, under the ""LDAP Group Settings"" the UI says Group Name (see screenshot).

Instead of ""Group Name"" this should be:
""Setting Name"" or ""Group Setting Name""",,Improvement,Artifactory Binary Repository,,2018-07-19 11:55:52,2018-08-16 17:47:06,Open,4 - Normal,Ariel Kabov,Ariel Kabov,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,43 characters is in range.
JFrog,66530,0,Add pipeline integration tests,,3.0.0,Task,Jenkins Artifactory Plug-in,,2019-01-06 14:47:08,2019-02-07 10:58:06,Open,4 - Normal,Yahav Itzhak,Yahav Itzhak,,,,,Yahav Itzhak,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,30 characters is too short.
JFrog,66408,0,use go-modules to build Replicator,,,Sub-task,Artifactory Binary Repository,,2019-01-01 11:34:48,2019-01-01 11:42:29,Open,4 - Normal,Yoaz Menda,Yoaz Menda,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,34 characters is too short.
JFrog,33997,0,Improve tree performance by fetching related actions only for selected item,"Currently when a user navigates to tree / simple browser the available actions are fetched for all items instead of only the selected item.
This can cause significant delay in time it takes to render the tree. ",,Bug,Artifactory Binary Repository,Web UI,2016-05-16 10:54:56,2016-06-08 12:19:54,Open,3 - High,Roy Zanbel,Roy Zanbel,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,75 characters is too long.
JFrog,33352,0,System health ping authentication failure should not add to failure count,"System export with an admin user that has a changed password (not default 'password')
Move DB to fresh Oracle from Derby.
Start up server, starts up successfully
Try to log in with admin you see the error message: ""Too many failed attempts, try again in 1 seconds""
This is because there is a proxy server that is doing authenticated health pings using the admin credentials from the previous system

Workaround: Turn off the proxy server during migration, or do an artifactory.conig.import.xml security.import.xml procedure to get login credentials set.

Change request: make it so system pings do not add to the authentication failure count",4.7.0,Change Request,Artifactory Binary Repository,Security,2016-04-01 17:07:38,2016-04-04 16:59:18,Open,4 - Normal,Aaron Rhodes,Aaron Rhodes,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,73 characters is too long.
MongoDB,1363465,0,"Getting ""Authentication failed because the remote party has closed the transport stream"" while connection mongodb V4.0 using C# driver.","We are trying to implement SSL authentication with the MongoDB 4.0 version using the below connection string and facing authentication issues.

 *mongodb://username:password@hostname:27017/?authSource=admin&readPreference=primary&ssl=true&sslPEMKeyFile=C:/etc/ssl/client.pem""*

At MongoDB log, we see the application connections are closing immediately with error message :

*encountered a network error during SourceMessage: SocketE**xception: no shared cipher*

application log: 
2020-02-20 12:39:53 [Debug] Failed to authenticate HTTPS connection.
 Properties: \{ EventId: { Id: 1 }, SourceContext: ""Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware"", ConnectionId: ""0HLTM5FID0INL"", Application: ""DCDService"" }
 MachineName: NB1999-01924579
 System.IO.IOException: Authentication failed because the remote party has closed the transport stream.
    at System.Net.Security.SslStream.StartReadFrame(Byte[] buffer, Int32 readBytes, AsyncProtocolRequest asyncRequest)
    at System.Net.Security.SslStream.StartReceiveBlob(Byte[] buffer, AsyncProtocolRequest asyncRequest)
    at System.Net.Security.SslStream.ForceAuthentication(Boolean receiveFirst, Byte[] buffer, AsyncProtocolRequest asyncRequest)
    at System.Net.Security.SslStream.ProcessAuthentication(LazyAsyncResult lazyResult, CancellationToken cancellationToken)
    at System.Net.Security.SslStream.BeginAuthenticateAsServer(SslServerAuthenticationOptions sslServerAuthenticationOptions, CancellationToken cancellationToken, AsyncCallback asyncCallback, Object asyncState)
    at System.Net.Security.SslStream.<>c.<AuthenticateAsServerAsync>b__69_0(SslServerAuthenticationOptions arg1, CancellationToken arg2, AsyncCallback callback, Object state)
    at System.Threading.Tasks.TaskFactory`1.FromAsyncImpl[TArg1,TArg2](Func`5 beginMethod, Func`2 endFunction, Action`1 endAction, TArg1 arg1, TArg2 arg2, Object state, TaskCreationOptions creationOptions)
    at System.Threading.Tasks.TaskFactory.FromAsync[TArg1,TArg2](Func`5 beginMethod, Action`1 endMethod, TArg1 arg1, TArg2 arg2, Object state, TaskCreationOptions creationOptions)
    at System.Threading.Tasks.TaskFactory.FromAsync[TArg1,TArg2](Func`5 beginMethod, Action`1 endMethod, TArg1 arg1, TArg2 arg2, Object state)
    at System.Net.Security.SslStream.AuthenticateAsServerAsync(SslServerAuthenticationOptions sslServerAuthenticationOptions, CancellationToken cancellationToken)
    at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.InnerOnConnectionAsync(ConnectionContext context)
 
 
 
 ",,Bug,C# Driver,Connectivity,2020-05-27 10:09:04,2020-06-22 14:43:23,Needs Triage,Major - P3,naresh kandala,naresh kandala,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,135 characters is too long.
MongoDB,1788715,0,Make FileCopyBasedInitialSyncer the default on enterprise with a supported storage engine,"Supported storage engine is WiredTiger, when not inMemory.",,Task,Core Server,,2021-06-17 19:36:39,2021-07-30 17:29:47,Needs Verification,Major - P3,Matthew Russotto,Matthew Russotto,,,pm-1897-M2,5.3 Required,Backlog - Replication Team,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,89 characters is too long.
MongoDB,881089,0,Complete TODO listed in SERVER-39797,,,Task,Core Server,,2019-07-31 18:50:51,2019-09-16 20:33:23,Needs Verification,Major - P3,PM Bot,PM Bot,,,todo,,Backlog - Replication Team,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,36 characters is too short.
MongoDB,1892730,0,Add compression to evergreen config.,Add compression to evergreen config.,,Task,Rust Driver,,2021-10-07 16:02:26,2021-10-13 16:50:08,Needs Triage,Major - P3,Andrew Witten,Andrew Witten,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",TRUE,36 characters is too short.
MongoDB,973691,0,Support excluding whole directories in archive.targz_pack,archive.targz_pack now supports excluding files but it doesn't support excluding whole directories. It would be useful to add that.,,New Feature,Evergreen,,2019-10-20 22:09:13,2019-10-21 14:39:04,Needs Triage,Major - P3,Chenhao Qu,Chenhao Qu,,,,,Backlog - Evergreen Team,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,57 characters is in range.
MongoDB,1417364,0,Implement {{ChangeStreamGetMore}} operation,"As the next part of implementing change streams, we need to define a {{ChangeStreamGetMore}} struct that implements {{Operation}}. This operation should wrap the {{GetMore}} operation, calling {{Aggregate::build}} and {{Aggregate::handle_response}} in its own respective {{build}} and {{handle_response}} methods.

Additionally, the {{poll_next}} methods on the {{ChangeStream}}'s {{Stream}} implementation should be updated to create and execute a {{ChangeStreamGetMore}} operation, following the pattern used in the {{Cursor}}'s {{poll_next}} implementation.",,New Feature,Rust Driver,,2020-07-22 19:15:15,2021-12-15 18:01:35,Needs Triage,Major - P3,Samuel Rossi,Samuel Rossi,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",FALSE,43 characters is in range.
